rhic_sphnx_hcalproto_box_holder  |                root  |rhic_sphnx_hcalproto_box_holder  |                                 0*mm 0*mm 1400*mm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                       500*mm 700*mm 1400*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |    0*mm -247.228210574939*mm -157.099853409006*mm  |                     -32*deg 0*deg 0*deg  | ffffff   |                 Box  |                                248.5*mm 11.25*mm 102.445*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1_Abs  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1_Abs  |                    0*mm -4.99552643249018*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffff00   |              G4Trap  |101.445*mm 0.585*deg 0*deg 5.14392713501963*mm 247.5*mm 247.5*mm 0*deg 7.135*mm 247.5*mm 247.5*mm 0*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_0  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_0  |                             56.8*mm 7.135*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |              G4Trap  |99.05*mm 2.23*deg 0*deg 3.5*mm 52.95*mm 52.95*mm 0*deg 3.5*mm 60.65*mm 60.65*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_1  |                            -56.8*mm 7.135*mm 0*mm  |                     0*deg 0*deg 180*deg  | 00ff00   |              G4Trap  |99.05*mm 2.23*deg 0*deg 3.5*mm 52.95*mm 52.95*mm 0*deg 3.5*mm 60.65*mm 60.65*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_2  |                            172.9*mm 7.135*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |              G4Trap  |99.05*mm 6.67*deg -0*deg 3.5*mm 55.295*mm 55.295*mm 0*deg 3.5*mm 63.05*mm 63.05*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_3  |rhic_sphnx_hcalproto_box_holder_HCalIn_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_1_Scnt_3  |                           -172.9*mm 7.135*mm 0*mm  |                     0*deg 0*deg 180*deg  | 00ff00   |              G4Trap  |99.05*mm 6.67*deg -0*deg 3.5*mm 55.295*mm 55.295*mm 0*deg 3.5*mm 63.05*mm 63.05*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |    0*mm -220.055653148417*mm -152.002374995279*mm  |                     -32*deg 0*deg 0*deg  | ffffff   |                 Box  |                                248.5*mm 11.25*mm 102.445*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2_Abs  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2_Abs  |                    0*mm -4.99552643249018*mm 0*mm  |                       0*deg 0*deg 0*deg  | ffff00   |              G4Trap  |101.445*mm 0.585*deg 0*deg 5.14392713501963*mm 247.5*mm 247.5*mm 0*deg 7.135*mm 247.5*mm 247.5*mm 0*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_0  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_0  |                             56.8*mm 7.135*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |              G4Trap  |99.05*mm 2.23*deg 0*deg 3.5*mm 52.95*mm 52.95*mm 0*deg 3.5*mm 60.65*mm 60.65*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_1  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_1  |                            -56.8*mm 7.135*mm 0*mm  |                     0*deg 0*deg 180*deg  | 00ff00   |              G4Trap  |99.05*mm 2.23*deg 0*deg 3.5*mm 52.95*mm 52.95*mm 0*deg 3.5*mm 60.65*mm 60.65*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_2  |                            172.9*mm 7.135*mm 0*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |              G4Trap  |99.05*mm 6.67*deg -0*deg 3.5*mm 55.295*mm 55.295*mm 0*deg 3.5*mm 63.05*mm 63.05*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_3  |rhic_sphnx_hcalproto_box_holder_HCalIn_2  |rhic_sphnx_hcalproto_box_holder_HCalIn_2_Scnt_3  |                           -172.9*mm 7.135*mm 0*mm  |                     0*deg 0*deg 180*deg  | 00ff00   |              G4Trap  |99.05*mm 6.67*deg -0*deg 3.5*mm 55.295*mm 55.295*mm 0*deg 3.5*mm 63.05*mm 63.05*mm 0*mm  |       ScintillatorB  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                flux  |                                      no 
